id,title,rate_per_hour,skill_list,level,location_city,employment_type,company_sector
484,Mobile Developer,18.33,"Flask, Celery, MySQL, MongoDB, FastAPI, NumPy, PostgreSQL",Mid,Yerevan,Full-time,Software
485,Site Reliability Engineer,62.35,"Redis, NumPy, Node.js, MongoDB, Kubernetes, CI/CD, GraphQL",Senior,Yerevan,Full-time,E-commerce
486,Backend Developer,20.24,"Scikit-learn, MongoDB, Docker, AWS",Mid,Yerevan,Full-time,FinTech
487,Site Reliability Engineer,19.87,"GCP, CI/CD, Pandas",Mid,Yerevan,Full-time,HealthTech
488,QA Engineer,11.24,"GraphQL, PostgreSQL, React, Pandas",Junior,Remote,Full-time,HealthTech
489,Software Engineer,54.93,"PostgreSQL, Vue, Node.js, Git",Senior,Yerevan,Full-time,FinTech
490,QA Engineer,11.65,"Git, Python, REST API, Django, Redis, AWS",Junior,Yerevan,Part-time,Gaming
491,Product Engineer,21.63,"Redis, React, NumPy, Celery, PostgreSQL",Mid,Dilijan,Part-time,EdTech
492,Mobile Developer,12.16,"REST API, Django, Celery, AWS, GCP, React",Junior,Yerevan,Full-time,E-commerce
493,Machine Learning Engineer,56.21,"Python, CI/CD, Vue",Lead,Yerevan,Full-time,Gaming
494,Mobile Developer,21.23,"REST API, PostgreSQL, Node.js, Redis",Mid,Yerevan,Full-time,HealthTech
495,Product Engineer,15.0,"AWS, GCP, PostgreSQL, Kubernetes, React",Mid,Yerevan,Full-time,E-commerce
496,Product Engineer,9.33,"Scikit-learn, Node.js, REST API, Docker, GCP",Junior,Yerevan,Full-time,Software
497,Data Scientist,8.44,"Docker, Redis, JavaScript, Terraform",Junior,Remote,Full-time,Software
498,Site Reliability Engineer,27.48,"GraphQL, Django, GCP, FastAPI, React, NumPy, Vue",Mid,Yerevan,Full-time,HealthTech
499,DevOps Engineer,27.0,"AWS, REST API, Scikit-learn, PostgreSQL, Python",Mid,Yerevan,Full-time,HealthTech
500,Mobile Developer,9.0,"GraphQL, Terraform, NumPy, REST API, React, MySQL, AWS",Junior,Vanadzor,Contract,FinTech
501,QA Engineer,22.61,"Git, MySQL, Kubernetes, Terraform, JavaScript, React",Mid,Yerevan,Full-time,Software
502,Software Engineer,37.29,"Flask, Scikit-learn, React, MongoDB, Node.js, SQL",Senior,Yerevan,Full-time,EdTech
503,QA Engineer,27.7,"Kubernetes, NumPy, AWS, Pandas, GraphQL",Mid,Yerevan,Full-time,E-commerce
504,Site Reliability Engineer,82.04,"Pandas, Node.js, CI/CD, PostgreSQL",Lead,Yerevan,Full-time,Software
505,Frontend Developer,6.56,"Django, Python, GCP, Celery, Flask, FastAPI, PostgreSQL",Junior,Yerevan,Full-time,E-commerce
506,Product Engineer,6.95,"Node.js, Pandas, MySQL, Kubernetes",Junior,Yerevan,Part-time,HealthTech
507,Software Engineer,7.58,"MongoDB, Redis, Kubernetes, REST API, PostgreSQL",Junior,Yerevan,Full-time,Software
508,Site Reliability Engineer,28.75,"Git, Kubernetes, Terraform, Pandas, GraphQL, Docker, Celery",Mid,Remote,Full-time,FinTech
509,Software Engineer,15.86,"Scikit-learn, Flask, Kubernetes, MySQL",Mid,Yerevan,Full-time,EdTech
510,QA Engineer,23.57,"AWS, MySQL, Redis, REST API",Mid,Yerevan,Full-time,EdTech
511,Backend Developer,26.65,"NumPy, Docker, Scikit-learn",Mid,Yerevan,Full-time,HealthTech
512,DevOps Engineer,15.47,"REST API, Docker, GCP, Node.js, React, Terraform",Mid,Gyumri,Full-time,FinTech
513,Mobile Developer,25.29,"Celery, NumPy, Scikit-learn, Git",Senior,Yerevan,Full-time,Gaming
514,Software Engineer,9.34,"Vue, Flask, React, JavaScript, MySQL, FastAPI",Junior,Yerevan,Full-time,HealthTech
515,Software Engineer,18.58,"MongoDB, Python, JavaScript, Django",Mid,Yerevan,Full-time,E-commerce
516,Site Reliability Engineer,8.4,"Pandas, Python, Node.js, Flask, JavaScript, NumPy",Intern,Remote,Full-time,FinTech
517,Machine Learning Engineer,9.93,"Kubernetes, SQL, Scikit-learn, Django, MongoDB",Junior,Yerevan,Full-time,E-commerce
518,Frontend Developer,45.45,"REST API, Redis, React",Senior,Remote,Full-time,E-commerce
519,Data Scientist,57.68,"NumPy, SQL, Node.js",Senior,Yerevan,Full-time,Software
520,Mobile Developer,35.17,"Kubernetes, Pandas, NumPy, FastAPI",Senior,Yerevan,Full-time,Software
521,Site Reliability Engineer,30.15,"React, Terraform, Pandas, Django, REST API",Mid,Yerevan,Full-time,HealthTech
522,Site Reliability Engineer,13.35,"CI/CD, Vue, FastAPI",Junior,Yerevan,Full-time,HealthTech
523,Data Scientist,20.66,"FastAPI, GCP, Node.js, Python, Django, GraphQL, Redis",Mid,Yerevan,Full-time,HealthTech
524,Product Engineer,8.47,"CI/CD, Git, MongoDB",Junior,Gyumri,Full-time,E-commerce
525,Software Engineer,12.76,"JavaScript, Redis, Node.js",Junior,Yerevan,Full-time,EdTech
526,QA Engineer,47.34,"Python, SQL, GCP, AWS",Lead,Gyumri,Full-time,E-commerce
527,Fullstack Developer,7.32,"REST API, SQL, Redis, Vue, GraphQL",Junior,Yerevan,Full-time,EdTech
528,Fullstack Developer,16.48,"React, Flask, Celery, JavaScript, Kubernetes, MySQL, PostgreSQL",Mid,Yerevan,Full-time,EdTech
529,Site Reliability Engineer,29.88,"Python, Git, AWS, NumPy",Mid,Yerevan,Full-time,E-commerce
530,Product Engineer,7.1,"Vue, Celery, CI/CD, Redis, REST API, JavaScript",Junior,Yerevan,Full-time,EdTech
531,Product Engineer,11.85,"CI/CD, Flask, Django, JavaScript, React, Pandas, Vue",Junior,Yerevan,Full-time,Software
532,Frontend Developer,23.79,"Celery, Git, SQL, GraphQL, PostgreSQL, Django",Mid,Yerevan,Full-time,E-commerce
533,QA Engineer,11.23,"Flask, Kubernetes, Terraform, Django, AWS, REST API",Junior,Yerevan,Full-time,FinTech
534,Mobile Developer,25.16,"Celery, Django, Pandas, Flask, MySQL",Senior,Gyumri,Full-time,EdTech
535,Frontend Developer,52.69,"REST API, GCP, Vue, Celery",Senior,Remote,Full-time,Gaming
536,Software Engineer,9.24,"Docker, Pandas, FastAPI, Terraform, GraphQL, AWS, Kubernetes",Junior,Yerevan,Full-time,Gaming
537,Software Engineer,13.93,"Celery, MongoDB, CI/CD, React, REST API, Git",Mid,Yerevan,Full-time,EdTech
538,Machine Learning Engineer,41.88,"Docker, NumPy, Terraform, Pandas, MongoDB",Senior,Dilijan,Full-time,HealthTech
539,Product Engineer,6.78,"AWS, Kubernetes, GCP, Python, Pandas",Junior,Yerevan,Full-time,EdTech
540,Backend Developer,66.37,"MySQL, Node.js, Vue",Lead,Yerevan,Full-time,HealthTech
541,QA Engineer,3.6,"Celery, REST API, GraphQL, Pandas, JavaScript, FastAPI, Django",Intern,Gyumri,Full-time,HealthTech
542,Machine Learning Engineer,24.18,"Node.js, PostgreSQL, Scikit-learn, MySQL",Mid,Yerevan,Full-time,EdTech
543,Frontend Developer,11.38,"Scikit-learn, Redis, React, SQL, GraphQL",Mid,Yerevan,Full-time,Software
544,Frontend Developer,16.37,"Flask, NumPy, Django, MongoDB, AWS, Docker",Mid,Yerevan,Full-time,EdTech
545,Mobile Developer,43.28,"Python, Terraform, NumPy, GCP, Django, MySQL, Celery",Senior,Yerevan,Full-time,Gaming
546,Backend Developer,21.15,"JavaScript, Django, CI/CD, Pandas",Mid,Yerevan,Full-time,Gaming
547,Mobile Developer,67.5,"Docker, MySQL, Scikit-learn, GCP",Lead,Gyumri,Full-time,Software
548,Fullstack Developer,6.33,"GCP, PostgreSQL, Flask, Scikit-learn, Celery, Docker, JavaScript",Junior,Yerevan,Full-time,Software
549,Fullstack Developer,18.06,"REST API, Git, Pandas, Celery",Mid,Yerevan,Full-time,EdTech
550,Data Scientist,12.75,"Flask, FastAPI, CI/CD, Docker, SQL, AWS, Terraform",Junior,Yerevan,Full-time,Gaming
551,Data Scientist,23.53,"AWS, Git, Scikit-learn, Kubernetes",Mid,Yerevan,Full-time,HealthTech
552,Product Engineer,9.35,"JavaScript, NumPy, Pandas, Flask, FastAPI",Junior,Yerevan,Full-time,FinTech
553,Backend Developer,6.42,"MongoDB, SQL, Scikit-learn",Junior,Yerevan,Full-time,HealthTech
554,Frontend Developer,12.28,"Vue, Scikit-learn, REST API, Celery, PostgreSQL, Pandas, Redis",Mid,Yerevan,Full-time,Gaming
555,Product Engineer,42.29,"GraphQL, CI/CD, Celery, Django, PostgreSQL, React",Senior,Yerevan,Full-time,Software
556,Backend Developer,7.18,"Terraform, Python, Flask, GCP, CI/CD, PostgreSQL",Junior,Gyumri,Full-time,Software
557,Software Engineer,29.83,"Terraform, GCP, Node.js, Celery, SQL",Senior,Yerevan,Part-time,Software
558,Frontend Developer,37.94,"Vue, Celery, Kubernetes, REST API",Senior,Yerevan,Full-time,Software
559,Backend Developer,3.83,"Pandas, React, Python, AWS, CI/CD, SQL",Intern,Remote,Full-time,E-commerce
560,QA Engineer,23.99,"Scikit-learn, Django, Terraform, PostgreSQL, GCP",Mid,Yerevan,Contract,EdTech
561,Backend Developer,45.05,"CI/CD, JavaScript, Flask, GCP, Celery, Git",Senior,Remote,Full-time,HealthTech
562,Software Engineer,25.3,"Git, MongoDB, Kubernetes, REST API, JavaScript",Mid,Yerevan,Full-time,E-commerce
563,Data Scientist,18.92,"MySQL, SQL, Celery, JavaScript",Mid,Yerevan,Full-time,FinTech
564,Mobile Developer,82.13,"MongoDB, Flask, REST API, Pandas",Lead,Remote,Full-time,EdTech
565,Frontend Developer,8.12,"Docker, MySQL, Kubernetes, Pandas, Terraform",Junior,Vanadzor,Full-time,Software
566,DevOps Engineer,14.64,"Git, PostgreSQL, Scikit-learn, GraphQL, Pandas, Node.js, CI/CD",Junior,Yerevan,Full-time,Software
567,Data Scientist,7.67,"Celery, Git, Redis, SQL",Junior,Yerevan,Full-time,E-commerce
568,Software Engineer,23.3,"Vue, Node.js, Django, Docker",Mid,Vanadzor,Full-time,FinTech
569,Backend Developer,53.87,"NumPy, Vue, Flask, React",Senior,Remote,Full-time,Gaming
570,Machine Learning Engineer,54.91,"Docker, GCP, NumPy, Django",Senior,Yerevan,Full-time,E-commerce
571,Product Engineer,27.94,"Git, REST API, Celery, Terraform, Django, Pandas, FastAPI",Senior,Yerevan,Full-time,EdTech
572,Machine Learning Engineer,29.75,"REST API, GCP, Pandas, Django, Scikit-learn, NumPy, Celery",Mid,Vanadzor,Part-time,FinTech
573,Software Engineer,48.96,"Kubernetes, React, Docker, MySQL, Git",Lead,Yerevan,Full-time,HealthTech
574,Backend Developer,20.2,"Flask, Pandas, Celery, FastAPI, React, GraphQL",Mid,Dilijan,Full-time,Gaming
575,Site Reliability Engineer,12.28,"GraphQL, SQL, Vue, Kubernetes, Flask, PostgreSQL",Junior,Yerevan,Full-time,FinTech
576,QA Engineer,14.83,"Flask, FastAPI, SQL",Mid,Dilijan,Full-time,Gaming
577,Machine Learning Engineer,27.17,"Git, React, GCP, REST API, Pandas, Django, NumPy",Mid,Yerevan,Full-time,Gaming
578,QA Engineer,28.59,"NumPy, SQL, Django, Docker",Mid,Yerevan,Full-time,FinTech
579,DevOps Engineer,18.16,"FastAPI, JavaScript, Vue, Python",Mid,Gyumri,Full-time,Gaming
580,Product Engineer,39.12,"Scikit-learn, Python, Git, Redis, Node.js, Vue, GraphQL",Senior,Yerevan,Full-time,E-commerce
581,Software Engineer,24.88,"Node.js, REST API, PostgreSQL",Mid,Yerevan,Full-time,EdTech
582,Product Engineer,19.87,"Django, Terraform, AWS, JavaScript",Mid,Gyumri,Full-time,FinTech
583,Backend Developer,21.11,"FastAPI, Docker, React",Mid,Vanadzor,Full-time,Software
584,Fullstack Developer,22.51,"Scikit-learn, REST API, React, Kubernetes, GraphQL, AWS, Django",Mid,Yerevan,Full-time,EdTech
585,Frontend Developer,28.74,"REST API, Flask, MySQL, Redis, JavaScript, FastAPI",Senior,Yerevan,Part-time,Software
586,DevOps Engineer,24.8,"Django, FastAPI, GraphQL, Terraform, Celery, Flask, Redis",Mid,Yerevan,Full-time,FinTech
587,Product Engineer,32.33,"PostgreSQL, Celery, GraphQL, Git, AWS",Senior,Remote,Full-time,EdTech
588,Fullstack Developer,20.89,"Scikit-learn, React, Git, Node.js, MySQL, Vue",Mid,Yerevan,Full-time,E-commerce
589,Backend Developer,7.4,"Scikit-learn, Git, Docker, Django",Junior,Yerevan,Full-time,Gaming
590,QA Engineer,16.64,"SQL, MySQL, PostgreSQL, Scikit-learn",Mid,Gyumri,Full-time,Gaming
591,Frontend Developer,24.88,"CI/CD, MongoDB, GCP",Mid,Yerevan,Full-time,Software
592,Product Engineer,15.34,"CI/CD, Redis, Scikit-learn, Django, Terraform",Mid,Yerevan,Full-time,HealthTech
593,Fullstack Developer,19.31,"Kubernetes, Scikit-learn, Docker, Pandas, Django",Mid,Yerevan,Part-time,EdTech
594,Site Reliability Engineer,7.56,"Vue, GraphQL, CI/CD",Junior,Yerevan,Full-time,EdTech
595,QA Engineer,26.59,"Python, MongoDB, GCP, Terraform, REST API",Senior,Vanadzor,Full-time,FinTech
596,Fullstack Developer,24.4,"SQL, Django, PostgreSQL, Docker, Flask",Mid,Yerevan,Full-time,HealthTech
597,Machine Learning Engineer,49.39,"Celery, MySQL, React, FastAPI",Senior,Yerevan,Full-time,HealthTech
598,QA Engineer,37.1,"Python, Redis, Celery, JavaScript, Vue, MongoDB, NumPy",Senior,Gyumri,Part-time,E-commerce
599,Site Reliability Engineer,18.16,"CI/CD, JavaScript, Vue, Django, Kubernetes, GCP, Celery",Mid,Yerevan,Full-time,Software
600,Frontend Developer,4.84,"MongoDB, Kubernetes, Django",Intern,Remote,Full-time,EdTech
601,Frontend Developer,22.46,"Terraform, Vue, MongoDB, MySQL, PostgreSQL",Mid,Yerevan,Full-time,EdTech
602,Site Reliability Engineer,35.48,"PostgreSQL, FastAPI, Python, Git",Mid,Yerevan,Full-time,FinTech
603,Site Reliability Engineer,18.01,"JavaScript, SQL, Scikit-learn, MySQL, GraphQL",Mid,Yerevan,Full-time,HealthTech
604,Data Scientist,7.58,"Django, JavaScript, Python, Redis, CI/CD, Scikit-learn",Junior,Yerevan,Part-time,EdTech
605,Frontend Developer,17.77,"GraphQL, Terraform, SQL, Pandas, Kubernetes, Git, AWS",Mid,Yerevan,Full-time,Gaming
606,DevOps Engineer,26.57,"NumPy, Kubernetes, GraphQL",Mid,Yerevan,Full-time,EdTech
607,Fullstack Developer,7.15,"MySQL, CI/CD, Terraform, SQL, Kubernetes, Redis",Junior,Gyumri,Full-time,Software
608,Data Scientist,37.71,"GCP, React, SQL, CI/CD, MongoDB",Senior,Yerevan,Part-time,HealthTech
609,QA Engineer,26.36,"Kubernetes, React, MySQL, AWS, Git, GraphQL",Mid,Yerevan,Full-time,HealthTech
610,Fullstack Developer,24.13,"REST API, Terraform, Flask, Scikit-learn, MySQL",Mid,Yerevan,Full-time,Software
611,Site Reliability Engineer,20.56,"React, Redis, GCP, Flask, MongoDB, Vue, GraphQL",Mid,Yerevan,Full-time,FinTech
612,Mobile Developer,51.47,"React, CI/CD, Flask, Pandas",Senior,Yerevan,Full-time,EdTech
613,Product Engineer,27.67,"FastAPI, Kubernetes, React, MySQL, GCP, Flask, Git",Senior,Yerevan,Full-time,HealthTech
614,Frontend Developer,21.77,"Terraform, CI/CD, Django, Flask, Vue, JavaScript",Mid,Yerevan,Full-time,HealthTech
615,Product Engineer,57.89,"Kubernetes, REST API, MySQL, GCP",Senior,Yerevan,Full-time,FinTech
616,Product Engineer,17.69,"GraphQL, Scikit-learn, CI/CD, MySQL, Docker",Mid,Yerevan,Full-time,HealthTech
617,QA Engineer,78.0,"JavaScript, MySQL, Django, AWS, REST API, Pandas",Lead,Yerevan,Full-time,EdTech
618,Backend Developer,42.47,"Node.js, Docker, SQL",Senior,Gyumri,Full-time,HealthTech
619,Product Engineer,24.95,"REST API, Vue, CI/CD, React, Redis, JavaScript",Mid,Yerevan,Full-time,E-commerce
620,Data Scientist,28.43,"MySQL, CI/CD, JavaScript, Python",Mid,Vanadzor,Full-time,E-commerce
621,Frontend Developer,21.34,"JavaScript, Flask, Scikit-learn, Terraform, Docker, Kubernetes",Mid,Yerevan,Part-time,Gaming
622,Product Engineer,49.99,"Kubernetes, GCP, AWS, Node.js, React, Docker, Git",Senior,Yerevan,Full-time,E-commerce
623,Backend Developer,18.2,"Docker, REST API, GraphQL, AWS, Django",Mid,Vanadzor,Full-time,EdTech
624,Backend Developer,22.32,"JavaScript, Pandas, Celery",Mid,Yerevan,Full-time,E-commerce
625,DevOps Engineer,19.28,"Redis, Terraform, Pandas, CI/CD",Mid,Yerevan,Part-time,Software
626,Software Engineer,10.69,"Django, MongoDB, REST API, Python, Redis, Kubernetes, Celery",Junior,Yerevan,Full-time,HealthTech
627,Machine Learning Engineer,35.44,"React, Django, SQL, Git, Pandas",Mid,Yerevan,Full-time,HealthTech
628,DevOps Engineer,53.96,"React, GraphQL, Django, CI/CD, MySQL, Git, Python",Senior,Yerevan,Full-time,E-commerce
629,DevOps Engineer,25.51,"JavaScript, Git, PostgreSQL, Python, Pandas",Mid,Yerevan,Full-time,HealthTech
630,Frontend Developer,16.01,"AWS, React, PostgreSQL, SQL, Node.js, Redis",Mid,Dilijan,Full-time,Gaming
631,Fullstack Developer,34.16,"Git, JavaScript, Redis, NumPy",Senior,Vanadzor,Full-time,Software
632,Mobile Developer,46.07,"Vue, GraphQL, Pandas, AWS",Senior,Yerevan,Full-time,Gaming
633,Backend Developer,26.96,"GCP, Redis, MySQL, NumPy, REST API, Node.js",Mid,Gyumri,Full-time,FinTech
634,Mobile Developer,13.28,"Python, MySQL, Kubernetes, GCP, CI/CD, MongoDB",Mid,Yerevan,Full-time,EdTech
635,Site Reliability Engineer,20.55,"Docker, Git, Terraform, PostgreSQL, MongoDB",Mid,Yerevan,Part-time,Gaming
636,DevOps Engineer,10.92,"NumPy, CI/CD, Pandas, Node.js, Scikit-learn, GraphQL",Junior,Yerevan,Full-time,E-commerce
637,Data Scientist,19.6,"Python, CI/CD, Scikit-learn, Flask, Pandas, Docker, FastAPI",Mid,Yerevan,Contract,HealthTech
638,Site Reliability Engineer,10.13,"Vue, Django, Python, Git, Flask",Junior,Yerevan,Full-time,HealthTech
639,Backend Developer,31.1,"SQL, FastAPI, Flask",Senior,Yerevan,Full-time,EdTech
640,Product Engineer,9.45,"FastAPI, SQL, React, PostgreSQL",Junior,Yerevan,Part-time,EdTech
641,DevOps Engineer,21.76,"SQL, CI/CD, MongoDB, PostgreSQL, React, Flask",Mid,Remote,Full-time,HealthTech
642,DevOps Engineer,52.85,"PostgreSQL, React, Kubernetes, Flask, Redis",Senior,Yerevan,Full-time,Software
643,Data Scientist,25.97,"NumPy, Docker, Vue, Git, Terraform, FastAPI, Kubernetes",Mid,Yerevan,Full-time,FinTech
644,DevOps Engineer,10.12,"Python, Redis, JavaScript, Terraform, SQL, Scikit-learn",Junior,Yerevan,Full-time,HealthTech
645,Backend Developer,19.47,"Python, Celery, SQL, Redis, Pandas, Docker, GCP",Mid,Yerevan,Full-time,E-commerce
646,Frontend Developer,15.83,"GraphQL, REST API, AWS",Mid,Yerevan,Contract,E-commerce
647,QA Engineer,20.99,"AWS, REST API, MongoDB",Mid,Yerevan,Full-time,Gaming
648,Frontend Developer,46.63,"REST API, Django, GCP, CI/CD",Senior,Gyumri,Full-time,FinTech
649,Data Scientist,14.37,"Redis, Flask, Terraform, Kubernetes, Pandas",Junior,Yerevan,Full-time,Gaming
650,Data Scientist,14.91,"Redis, GCP, Flask, Scikit-learn",Junior,Yerevan,Full-time,EdTech
651,Site Reliability Engineer,15.56,"Django, MongoDB, Scikit-learn",Mid,Yerevan,Contract,E-commerce
652,Backend Developer,13.91,"CI/CD, REST API, JavaScript, GraphQL, Node.js, Flask",Mid,Yerevan,Full-time,EdTech
653,Backend Developer,34.56,"Node.js, SQL, Terraform",Senior,Yerevan,Full-time,EdTech
654,Fullstack Developer,3.61,"Git, React, GraphQL, Flask, FastAPI, CI/CD",Intern,Yerevan,Part-time,Software
655,Machine Learning Engineer,27.32,"MongoDB, Pandas, CI/CD, GCP, Scikit-learn, FastAPI",Mid,Yerevan,Full-time,FinTech
656,Software Engineer,23.65,"GraphQL, React, MongoDB",Mid,Yerevan,Full-time,FinTech
657,Frontend Developer,9.31,"REST API, React, Kubernetes, Node.js, GraphQL",Junior,Yerevan,Full-time,Gaming
658,Backend Developer,5.75,"Python, Redis, Flask, React",Junior,Gyumri,Full-time,E-commerce
659,Frontend Developer,25.88,"SQL, JavaScript, Vue, NumPy, Terraform, PostgreSQL",Senior,Yerevan,Full-time,Gaming
660,Site Reliability Engineer,23.59,"Git, React, SQL",Mid,Yerevan,Full-time,Gaming
661,Machine Learning Engineer,28.21,"Docker, Python, REST API, Node.js, Vue",Mid,Yerevan,Full-time,HealthTech
662,Frontend Developer,46.38,"Node.js, Kubernetes, Terraform, CI/CD, Vue, PostgreSQL, Django",Lead,Remote,Full-time,EdTech
663,Data Scientist,16.86,"React, Scikit-learn, CI/CD, Django, SQL, Terraform",Junior,Yerevan,Full-time,E-commerce
664,QA Engineer,9.52,"FastAPI, Pandas, Django",Junior,Yerevan,Full-time,E-commerce
665,Site Reliability Engineer,7.41,"Node.js, Pandas, Kubernetes",Junior,Gyumri,Full-time,Software
666,Product Engineer,21.04,"NumPy, FastAPI, MongoDB, Node.js",Mid,Yerevan,Full-time,HealthTech
667,Frontend Developer,11.65,"Redis, GraphQL, Django",Junior,Yerevan,Full-time,FinTech
668,Mobile Developer,8.12,"JavaScript, Kubernetes, Pandas, Vue, Terraform",Junior,Remote,Full-time,E-commerce
669,QA Engineer,70.36,"Django, PostgreSQL, JavaScript, FastAPI, Kubernetes, CI/CD, Docker",Lead,Yerevan,Full-time,Gaming
670,Fullstack Developer,53.31,"React, GraphQL, REST API, Node.js, Flask, Docker, Celery",Senior,Yerevan,Full-time,FinTech
671,Machine Learning Engineer,46.17,"Python, Pandas, Docker, Node.js, MongoDB",Senior,Yerevan,Full-time,E-commerce
672,Mobile Developer,16.06,"Python, Docker, Django, Pandas, Redis, Celery, SQL",Mid,Dilijan,Full-time,FinTech
673,Mobile Developer,26.0,"Redis, Node.js, Flask, REST API, Python, Docker",Mid,Yerevan,Full-time,Software
674,Data Scientist,7.67,"Redis, CI/CD, MySQL",Junior,Yerevan,Full-time,Software
675,Fullstack Developer,45.42,"Kubernetes, NumPy, JavaScript, SQL, GCP, React",Senior,Vanadzor,Full-time,Software
676,QA Engineer,12.78,"GCP, SQL, MongoDB",Mid,Yerevan,Full-time,Gaming
677,Site Reliability Engineer,6.08,"GraphQL, Vue, CI/CD, Flask, Git, MongoDB, Django",Intern,Yerevan,Full-time,EdTech
678,Site Reliability Engineer,34.06,"AWS, Kubernetes, Git, Django, Scikit-learn, CI/CD",Senior,Yerevan,Part-time,Software
679,Fullstack Developer,15.54,"MongoDB, Node.js, REST API, FastAPI",Mid,Yerevan,Full-time,FinTech
680,Software Engineer,22.67,"NumPy, Pandas, Node.js, MongoDB",Mid,Remote,Full-time,Gaming
681,QA Engineer,34.39,"AWS, Kubernetes, Redis",Senior,Yerevan,Full-time,Software
682,Site Reliability Engineer,19.16,"MySQL, Kubernetes, Git, AWS, CI/CD, Flask, Vue",Mid,Yerevan,Full-time,Gaming
683,Machine Learning Engineer,15.4,"React, PostgreSQL, FastAPI",Junior,Yerevan,Full-time,Software
684,Fullstack Developer,15.38,"MySQL, Docker, CI/CD",Mid,Vanadzor,Full-time,Gaming
685,Site Reliability Engineer,46.19,"MySQL, Vue, Flask",Senior,Yerevan,Full-time,Gaming
686,Backend Developer,54.18,"Docker, GraphQL, MongoDB, Terraform, Scikit-learn",Senior,Yerevan,Part-time,Gaming
687,QA Engineer,14.0,"Kubernetes, MySQL, GraphQL, JavaScript, NumPy, React",Mid,Yerevan,Full-time,EdTech
688,DevOps Engineer,10.88,"AWS, MySQL, Kubernetes, React",Junior,Yerevan,Full-time,Software
689,Product Engineer,33.41,"React, Node.js, FastAPI, Django",Senior,Yerevan,Full-time,FinTech
690,QA Engineer,18.02,"SQL, Django, CI/CD, MongoDB, AWS, JavaScript, Pandas",Mid,Yerevan,Full-time,FinTech
691,Machine Learning Engineer,15.15,"Redis, NumPy, JavaScript, Kubernetes, MongoDB, Pandas",Mid,Yerevan,Full-time,Software
692,Backend Developer,72.21,"Redis, MySQL, NumPy, GraphQL, CI/CD",Lead,Yerevan,Full-time,Gaming
693,Fullstack Developer,35.06,"Pandas, Redis, Django",Senior,Yerevan,Part-time,HealthTech
694,Fullstack Developer,20.64,"Kubernetes, AWS, Flask, MongoDB",Mid,Yerevan,Full-time,EdTech
695,Backend Developer,18.01,"Python, Flask, REST API, Kubernetes",Mid,Yerevan,Full-time,HealthTech
696,Software Engineer,21.46,"MongoDB, Git, NumPy, Celery, Django, AWS",Mid,Yerevan,Full-time,FinTech
697,Mobile Developer,12.6,"MySQL, AWS, Kubernetes",Junior,Vanadzor,Full-time,HealthTech
698,Site Reliability Engineer,14.83,"MySQL, React, Pandas, Docker, SQL, JavaScript",Junior,Yerevan,Full-time,E-commerce
699,Product Engineer,18.19,"Flask, GraphQL, NumPy, GCP, Python",Mid,Yerevan,Full-time,EdTech
700,Mobile Developer,23.81,"NumPy, JavaScript, Vue, React, GCP, MySQL, REST API",Mid,Yerevan,Full-time,E-commerce
701,Machine Learning Engineer,4.05,"REST API, Pandas, Kubernetes, Node.js, Python, CI/CD",Intern,Gyumri,Full-time,HealthTech
702,Fullstack Developer,10.47,"Terraform, CI/CD, MySQL",Junior,Remote,Full-time,E-commerce
703,Mobile Developer,7.04,"NumPy, PostgreSQL, Redis",Junior,Dilijan,Full-time,Software
704,Frontend Developer,15.77,"Terraform, CI/CD, Redis, SQL, FastAPI",Mid,Yerevan,Full-time,E-commerce
705,QA Engineer,22.73,"Django, JavaScript, MongoDB, Kubernetes, NumPy, AWS, React",Mid,Yerevan,Full-time,FinTech
706,Backend Developer,6.44,"MySQL, Celery, Terraform",Junior,Yerevan,Part-time,HealthTech
707,Frontend Developer,22.61,"NumPy, React, REST API, MongoDB, SQL, MySQL, PostgreSQL",Mid,Gyumri,Full-time,Software
708,Software Engineer,25.6,"Python, JavaScript, Celery, MySQL",Mid,Yerevan,Full-time,HealthTech
709,QA Engineer,41.11,"Vue, JavaScript, Celery",Senior,Yerevan,Part-time,FinTech
710,Data Scientist,53.05,"REST API, SQL, Scikit-learn, NumPy, FastAPI, Docker, Kubernetes",Senior,Gyumri,Full-time,Gaming
711,Frontend Developer,7.02,"SQL, AWS, JavaScript, Kubernetes, Git",Junior,Yerevan,Full-time,HealthTech
712,Site Reliability Engineer,53.65,"Node.js, JavaScript, SQL",Senior,Yerevan,Full-time,Software
713,Fullstack Developer,11.4,"SQL, NumPy, FastAPI, Flask, Python, Redis",Mid,Yerevan,Full-time,Software
714,Mobile Developer,3.79,"Django, Redis, FastAPI, PostgreSQL, Scikit-learn, Flask, MySQL",Intern,Yerevan,Full-time,EdTech
715,Software Engineer,3.29,"GraphQL, Vue, React, CI/CD",Intern,Yerevan,Full-time,EdTech
716,QA Engineer,4.35,"AWS, Scikit-learn, React, Celery, Git, Node.js, SQL",Intern,Yerevan,Full-time,HealthTech
717,Product Engineer,9.34,"SQL, Vue, MySQL, React",Junior,Gyumri,Full-time,EdTech
718,Site Reliability Engineer,4.96,"AWS, SQL, GraphQL, React, Kubernetes, FastAPI",Intern,Yerevan,Part-time,EdTech
719,Fullstack Developer,51.4,"Docker, FastAPI, NumPy, MongoDB",Senior,Remote,Full-time,EdTech
